"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.028493276","","","2.22972096","3.777528741","4.155977424","6.377808073","13.81422174","16.83482789","58.44084243","67.33419771","75.45981165","105.1838786","109.4556693","114.0409598","117.3566698","123.2764603","129.0166512","131.3507803","","132.2077719","134.9144635","134.8533699","135.2427175","","","","132.4665076","132.2887836","132.3496283","","","",
"Africa Eastern and Southern","AFE","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00134257553672072","0.00258214265567223","0.00306012952109055","0.00582416440279694","0.0160281568745268","0.117720610098511","0.164300729636764","0.285421858668388","0.537893874347061","0.963135057510966","1.5364967739772","2.53187461998447","3.48511266478186","4.59739340752445","6.07988901464806","8.01544755486436","12.59131987433","16.9490525169552","21.6849919782563","28.1203044455646","32.6088889551093","38.5271319772483","48.0159935090946","52.7679765565158","57.6880768277277","61.9358160623131","66.5","63.6","63.5","65.2","67.9","70.3","74.7","77.7","81.3","",
"Afghanistan","AFG","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.119046168","0.883192104","2.547386592","4.915778177","9.905952707","18.02123984","29.88931593","38.34172829","36.23965543","47.17359546","50.35079702","53.28634042","56.26314295","58.39109599","62.37109623","67.13641492","59.90264778","59.78387904","58.1902139","56.55443457","","","",
"Africa Western and Central","AFW","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000405567623636312","0.00558115607144699","0.00959570091410311","0.0125531304913285","0.025856289147414","0.0465887994019213","0.0980257325747414","0.20622679893449","0.530892742687222","1.04987624556741","2.09477956084382","3.32309173202265","6.46046333370717","11.1025063085919","18.7872335012222","25.0392998212097","36.8661001562175","44.3449799979514","52.27223728058","58.249872484352","67.1094646656648","75.0120031475166","80.2975320892204","83.3","82.9","81.4","87.8","91.3","96.7","95","102.1","100.8","",
"Angola","AGO","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008436702","0.013549219","0.01433269","0.02292929","0.04742069","0.063903735","0.151221568","0.157410653","0.442697606","0.799262897","1.931104589","3.942225093","8.282974634","15.15012642","23.72841216","31.22582177","36.02958262","40.24692066","49.76776766","50.75814192","50.80964158","51.80029281","49.36244924","44.59350803","44.10644535","42.49094914","45.8377414","43.81009059","44.42373173","67.37347427","","",
"Albania","ALB","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.070307774","0.101422403","0.173257946","0.343114336","0.936229188","12.45080244","27.24463279","35.56428066","41.12783099","50.45923775","63.59103905","78.03664144","63.00230139","84.07120051","92.41340015","106.8724501","121.0154371","127.67458","116.4887372","117.9871153","116.9622462","125.9205273","94.36446759","91.51642864","91.35050062","92.31992041","97.88570679","","",
"Andorra","AND","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.344203341","1.318547569","1.284466799","4.489257564","8.555349432","13.32364491","21.65649066","31.37613282","35.61832431","43.39280448","46.28218157","70.21296747","75.86601328","80.87590509","86.01844926","81.23912599","84.41522582","87.40318475","91.57706344","92.17208933","89.93550386","89.58187372","92.48694535","99.42853957","104.9517508","108.8046481","110.1329103","115.1500465","103.4491634","118.6729762","142.2141211","","",
"Arab World","ARB","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0.00139135029448582","0.00206452793552855","0.00277542509376027","0.00454385232052265","0.011489686324028","0.0174495848946617","0.0198658484390306","0.0288731721004244","0.0391611129825038","0.0567169465116559","0.0642451336720986","0.0818781227277993","0.105305831302216","0.197651290165998","0.354623216561879","0.608151128959064","0.928146209147479","1.47667988359235","3.14235571585315","5.674469873018","8.4137897725289","11.4425320694818","16.6252188547319","26.4479394294001","38.2910994488433","51.6630400128938","61.7078304449257","74.4957914017246","85.6094564648384","94.4751848643954","100.300841931146","104.741398824987","104.242109611802","102.997439000868","100.424978952655","98.1963031894916","96.4014579839673","96.7326519819152","96.2300336647374","99.2339505781343","102.925568544421","","",
"United Arab Emirates","ARE","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","","","","","","","","","","","","","","","","","","","","","","","0.199510899","0.287983245","0.377274558","0.574396029","0.761967402","0.870037547","0.820998752","1.392200196","1.767122718","2.14142422","2.311609649","3.174853055","3.928169053","5.298629246","7.534161116","11.26583053","16.88654733","26.86844465","43.60213145","55.27485686","66.82174472","77.94350145","92.23151353","105.9133477","112.6626827","131.6533802","133.8983849","133.5212478","128.8176608","136.7594244","158.9763381","183.5446297","190.3476162","201.219729","221.308772","218.6322987","219.700673","212.804439","197.8438703","194.7336208","212.2208173","","",
"Argentina","ARG","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.007150459","0.036767345","0.075515553","0.13879172","0.329148059","0.6992523","1.160057586","1.884803688","5.609433289","7.371312411","10.50082052","17.5015229","17.98746665","17.33333812","20.48748472","34.94389378","56.70883514","79.81991978","101.3182303","115.4815533","128.9999606","138.8859542","146.2467408","153.3349717","158.9154655","142.9902363","142.9639551","145.9179567","140.5014607","131.9371685","125.9409814","121.6001889","130.4550081","132.3578095","","",
"Armenia","ARM","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.009093946","0.152838922","0.241656509","0.254551579","0.551865964","0.814009232","2.297846274","3.708664629","6.631634399","10.43709632","41.62457715","62.45557755","48.33377522","73.92986395","131.1938086","109.6360981","114.013624","115.3337511","119.696221","120.3535058","119.8452458","122.3218158","126.1831509","128.2969735","124.3508359","128.961359","135.2539805","","",
"American Samoa","ASM","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","1.397819402","1.758705593","2.29498164","2.340780135","2.385321101","2.518982331","2.650036217","3.125325555","3.420917053","3.696591455","3.499664816","3.624439075","3.904487558","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","","","","1.862517551","1.965795164","2.066912859","11.51433874","29.31183799","32.80194187","49.49154738","59.04654558","68.40551805","107.67632","136.1958564","137.0232638","164.0725036","159.6103343","196.009102","202.940193","145.2893674","129.2224595","134.5208212","195.6860129","198.754472","201.933735","","199.7481436","198.5668652","197.3825359","","","",
