"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.51555","7.46999","13.0256","14.627","16.5612","18.8089","18.9851","19.1951","","","18.7211","18.5735","18.237","","","","17.7444","17.6909","17.6649","17.4862","","",
"Africa Eastern and Southern","AFE","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.062574277057914","0.1142714613629","0.135809975850208","0.147536203087257","0.179057886309788","0.196025141368356","0.29238007125147","0.351953126198483","0.452910908034707","0.535180357803304","0.5","0.5","0.5","0.5","0.6","0.7","0.8","0.9","1","",
"Afghanistan","AFG","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000848873","0.000901471","0.00196664","0.00192977","0.00188803","0.00364085","0.00530334","","0.00490837","0.00474343","0.00457421","0.0208887","0.0253627","0.0257279","0.0435429","0.0519942","0.0680079","0.0664243","0.0796302","0.0800873","",
"Africa Western and Central","AFW","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0100746707116333","","0.0490133901171414","0.0638623692018412","0.0761774862454016","0.105775943595984","","0.108365892133372","0.106400199967978","0.132959962499429","0.1","0.2","0.2","0.2","0.3","0.4","0.4","0.4","0.5","",
"Angola","AGO","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0372615","0.056308","0.0738786","0.0669202","0.064392","0.06531","0.0814699","0.0851575","0.323076","0.545394","0.290319","0.320554","0.350067","0.36777","0.363264","0.390925","0.386698","0.373669","",
"Albania","ALB","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0088422","","0.33081","2.13837","3.10656","3.60359","4.40357","5.5013","6.27864","7.16191","8.37878","9.19224","10.4757","12.5058","15.1193","17.7209","19.6304","20.6989","22.472","",
"Andorra","AND","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.72616","5.18234","8.45207","13.3568","18.3653","22.6266","24.7584","27.3472","30.3596","33.1216","35.017","36.8833","39.017","42.5278","45.0118","46.4786","47.4482","47.543","48.656","50.2769","51.2051","51.7401","",
"Arab World","ARB","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.149109562629116","0.312436469485612","0.496007359893323","0.877291881859761","1.27730018707497","1.9012125431949","2.04323473083935","2.61348128426564","2.97824917361701","2.75542089172485","3.28056141344334","4.98570358832213","5.40362000528477","6.75037761278678","7.42213410612557","7.48830314498961","8.64722518977881","9.72405002319894","11.9963102299597","","",
"United Arab Emirates","ARE","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.011848024","0.0564751","0.22489","0.420337","0.723371","1.2677","2.77226","4.80366","6.75244","8.84669","10.294","11.3401","12.0422","12.7381","13.3038","13.2546","14.2305","14.3683","29.9083","32.3591","32.4803","34.3453","36.5005","36.8486","37.0968","",
"Argentina","ARG","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.249835","0.389173","0.67366","1.3986","2.36307","3.99704","6.49728","7.70515","8.59391","9.75627","10.956","12.2115","14.6798","15.153","15.7689","16.5185","17.7082","18.9759","19.5519","21.1798","23.15","24.6832","25.3581","",
