country,DAI_Overall,DAI_Business,DAI_People,DAI_Gov
Afghanistan,0.3432142734527588,0.3418864607810974,0.12334344536066055,0.5644129514694214
Albania,0.6079035401344299,0.6211245656013489,0.4637785851955414,0.7388074398040771
Algeria,0.43110334873199463,0.49817800521850586,0.41968834400177,0.375443696975708
Andorra,0.6403834819793701,0.829272985458374,0.739460825920105,0.35241666436195374
Angola,0.33476701378822327,0.40860193967819214,0.13160765171051025,0.4640914797782898
Antigua and Barbuda,0.4773251712322235,0.6120268702507019,0.5651175379753113,0.25483110547065735
Argentina,0.6856762170791626,0.6902854442596436,0.6337335109710693,0.7330096364021301
Armenia,0.6217233538627625,0.7142283916473389,0.47879865765571594,0.6721429824829102
Australia,0.7121737003326416,0.7720235586166382,0.7772997617721558,0.5871977806091309
Austria,0.8624265193939209,0.8768870830535889,0.8653051257133484,0.8450874090194702
Azerbaijan,0.5941662788391113,0.5086988806724548,0.5226725935935974,0.7511274218559265
"Bahamas, The",0.5274462699890137,0.7415497899055481,0.49549782276153564,0.3452911078929901
Bahrain,0.7860188484191895,0.7480002641677856,0.8402485847473145,0.769807755947113
Bangladesh,0.37181901931762695,0.35670676827430725,0.18805734813213348,0.5706929564476013
Barbados,0.645413875579834,0.8325871825218201,0.6266815662384033,0.4769729673862457
Belarus,0.5916587114334106,0.7428251504898071,0.6453143358230591,0.3868366479873657
Belgium,0.7804377675056458,0.8502628803253174,0.7265593409538269,0.764491081237793
Belize,0.4037163257598877,0.5849996209144592,0.28931379318237305,0.3368355631828308
Benin,0.22411739826202393,0.3298555314540863,0.146964430809021,0.19553223252296448
Bhutan,0.44395729899406433,0.46872183680534363,0.3661293089389801,0.49702075123786926
Bolivia,0.4797000288963318,0.5460861921310425,0.30468982458114624,0.5883240699768066
Bosnia and Herzegovina,0.5975832939147949,0.6809399724006653,0.46945738792419434,0.6423525810241699
Botswana,0.47231796383857727,0.4803794324398041,0.4664451777935028,0.47012925148010254
