Country Name,Internet_Users_Pct,Fixed_Broadband_per_100,R&D_Expenditure_Pct_GDP,Mobile_Cellular_per_100,High_Technology_Exports_USD,ICT_Graduates_Pct,Problem_Solving_Tech_Level3_Pct,B2C_Index_2020,DAI_Overall,DAI_Business,DAI_People,DAI_Gov
United States,92.2,37.4914,3.58623003959656,110.1664718,191876058536.0,5.010220050811768,5.1,91.0,0.7471181154251099,0.7812658548355103,0.7305381894111633,0.7295503616333008
Denmark,97.9,44.8237,2.89051008224487,126.549332,14666763778.0,5.675069808959961,6.33,94.5,0.7911590933799744,0.9178224205970764,0.8972015976905823,0.5584533214569092
Greece,83.2,42.923,1.48596000671387,109.0631741,2860598783.0,3.627510070800781,2.5,79.2,0.6052086353302002,0.7109168171882629,0.6809167861938477,0.4237922430038452
Chile,93.5,22.777,1.3842089454851805,134.7453263,1400540500.0,3.186800003051758,2.1,68.4,0.7561799883842468,0.8165996074676514,0.5601536631584167,0.8917866945266724
Lithuania,87.7,28.7251,1.05318999290466,139.1367809,3618309366.0,4.99360990524292,2.06,82.6,0.7934001088142395,0.8010338544845581,0.751951277256012,0.8272151947021484
Israel,91.9,29.1677,6.01923990249634,152.2222464,18960759000.0,6.942490100860596,6.37,83.9,0.7878584265708923,0.773512601852417,0.7396597862243652,0.8504029512405396
Poland,86.9,23.8373,1.4538300037384,131.9444373,28739310787.0,4.258210182189941,3.84,82.2,0.6902750730514526,0.7562958598136902,0.6839330196380615,0.6305962800979614
Austria,93.6,29.2343,3.20047998428345,123.4348071,23542335794.0,5.263209819793701,4.33,88.8,0.8624265193939209,0.8768870830535889,0.8653051257133484,0.8450874090194702
Australia,97.0,36.5768,1.3842089454851805,107.0312028,7827261971.0,6.156660079956055,6.18,90.6,0.7121737003326416,0.7720235586166382,0.7772997617721558,0.5871977806091309
Estonia,91.5,38.066,1.78205001354218,155.0300061,2331439433.0,9.587960243225098,4.32,90.8,0.8330860733985901,0.8465331196784973,0.8000695705413818,0.8526555299758911
Finland,93.0,34.2952,2.96468997001648,128.6830329,5314037683.0,8.05342960357666,8.35,93.4,0.8069317936897278,0.9225613474845886,0.8305203914642334,0.6677137017250061
Ireland,96.6,31.5363,0.962639987468719,113.2768198,92158964502.0,8.194840431213379,3.14,93.4,0.6587520837783813,0.8264144062995911,0.6471841335296631,0.5026577711105347
Norway,99.0,45.6645,1.55752003192902,110.6788541,5351662717.0,5.566329956054688,6.07,92.6,0.8042177557945251,0.8819942474365234,0.8106904625892639,0.7199685573577881
Germany,91.6,44.6186,3.13235998153687,125.2251369,244202078745.0,5.476870059967041,6.8,93.4,0.8396981954574585,0.8684518933296204,0.7797086834907532,0.8709340691566467
Sweden,95.0,40.6093,3.40822005271912,125.0711442,23544889099.0,6.766119956970215,8.77,90.8,0.8316949605941772,0.9408772587776184,0.8545302152633667,0.6996774077415466
New Zealand,96.2,36.3045,1.3842089454851805,114.6898687,826243764.0,6.597420215606689,10.17,91.8,0.7061364650726318,0.7677921652793884,0.7866072654724121,0.5640100240707397
Slovenia,88.9,32.0105,2.09524989128113,126.1838135,3924918658.0,4.754519939422607,3.71,78.8,0.7149180173873901,0.8595795631408691,0.6312682032585144,0.6539062857627869
Canada,94.0,42.1792,1.71166002750397,91.23062536,31224620822.0,6.060979843139648,7.12,90.8,0.6911019086837769,0.7878227829933167,0.6888651847839355,0.5966177582740784
Netherlands,92.5,43.5643,2.25533008575439,118.0652669,98441621634.0,4.42956018447876,7.28,95.8,0.8384631872177124,0.9103962779045104,0.7958132028579712,0.8091800212860107
